id,rubrika,naslov,trenutno,predlog,prihvati(da/ne)
sportklub_5f72b07ec5,Vaterpolo,"Marsej slavi Miloša Šćepanovića, ništa od fešte u Splitu!",1,0,
sportklub_c47ce7dae2,SP u fudbalu,Sedmica za istoriju: Nemačka na vrhu preskočila Brazil,1,0,
sportklub_4b569685c2,SP u fudbalu,SP 2026: Počinje istorijsko Svetsko prvenstvo u fudbalu!,1,0,
sportklub_b72c1afebb,Conference League,Ponos radničkog Valjekasa u Lajpcigu piše istoriju,1,0,
sportklub_edd882cbb2,SP u fudbalu,(VIDEO) Drama za kraj: Dva penala i crveni karton za Holandiju,1,0,
sportklub_0e72ec3fd5,Hokej,Uraganski preokret ostavio Karolinu u životu,1,0,
sportklub_0263639981,Roland Garros,"Iva furija pričala o egu: Šta, napali su mene, šta pričate?",1,0,
sportklub_d2acffecc1,ATP,Senzacija u Hamburgu: Novo ime odzvanja svetom tenisa!,1,0,
sportklub_af305d2eec,ACB,"Senzacija: Real ispao, Tenerife protiv Barse za finale",1,0,
sportklub_fd606a9877,Plivanje,"Andrej Barna kao furija, velika pobeda u Kanu",1,0,
sportklub_a4f6e14bc4,Vaterpolo,Da li je na pomolu vaterpolo senzacija u Crnoj Gori?,1,0,
sportklub_fba7214041,Hokej,Spektakl na početku: Vegasov vitez na belom konju je Hertl,1,0,
sportklub_55200e46ed,ABA liga,Nastavlja se haos: Dubai preti tužbom ABA ligi,1,0,
sportklub_1d1a695fd6,Moto GP,Beceki konačno pokorio Muđelo za istoriju Aprilije!,1,0,
sportklub_83e302c200,Roland Garros,Utorak na Rolan Garosu: Senzacija za kraj i komentar Saše Ozma,1,0,
sportklub_090956faf4,Superliga Srbije,Bomba iz Novog Sada: Stefan Mitrović od srede u Vojvodini!,1,0,
sportklub_01ed608b73,SP u fudbalu,"Teksaški spektakl, sedmica Pancera, tragični Ekvador",1,0,
sportklub_61556525ce,Moto GP,Istorijske kvalifikacije: Aprilija prvi put „zaključala“ prvi red,1,0,
sportklub_740d50c747,Atletika,(VIDEO) Senzacija u Oregonu: Pao svetski rekord na 110 m prepone!,1,0,
sportklub_2fb9512bdd,Atletika,"Poraz Duplantisa posle tri godine, čudesna Odri Vero",1,0,
sportklub_895e7402fd,Srbija KLS,Istorijski debakl – koga zanima srpska titula,1,0,
sportklub_77811359d5,Zimski sportovi,"Drama u Beogradu: Svetsko skijanje dobilo lidera, presudio 1 glas",1,0,
sportklub_e7bfb6b930,SP u fudbalu,Istorijska odluka sudije: BiH osetila novo pravilo na svojoj koži,1,0,
sportklub_f33446c493,Fudbal - video,(VIDEO) Bilo je suđeno: Ronaldo u suzama slavi titulu sa Nasrom!,1,0,
sportklub_00ffbf2d52,Champions League,Za istoriju Evrokupova: Neobičan podvig Džejdona Sanča,1,0,
sportklub_cfe2ba38b6,Hokej,"Kanada razbila Ameriku, istorijski uspeh Norveške",1,0,
